account_id,timestamp,category,device_name,energy_kwh
ACC10001,2026-08-01T08:00:00,cooling,Living Room AC,1.25
ACC10001,2026-08-01T09:00:00,cooling,Living Room AC,1.10
ACC10001,2026-08-01T12:00:00,appliances,Refrigerator,0.18
ACC10001,2026-08-01T18:00:00,lighting,Living Room Lights,0.12
ACC10001,2026-08-01T19:00:00,appliances,Washing Machine,0.68
ACC10001,2026-08-02T08:00:00,cooling,Living Room AC,1.30
ACC10001,2026-08-02T12:00:00,appliances,Refrigerator,0.17
ACC10001,2026-08-02T20:00:00,lighting,Bedroom Lights,0.08
ACC10001,2026-08-03T08:00:00,cooling,Living Room AC,1.42
ACC10001,2026-08-03T12:00:00,appliances,Refrigerator,0.19
ACC10002,2026-08-01T08:00:00,heating,Heat Pump,0.85
ACC10002,2026-08-01T12:00:00,appliances,Refrigerator,0.16
